2026-05-28,16:40:51 | INFO | Rank 0 | Params:
2026-05-28,16:40:51 | INFO | Rank 0 |   C: 3.16
2026-05-28,16:40:51 | INFO | Rank 0 |   EOS: 5631
2026-05-28,16:40:51 | INFO | Rank 0 |   SOS: 5632
2026-05-28,16:40:51 | INFO | Rank 0 |   aggregate: True
2026-05-28,16:40:51 | INFO | Rank 0 |   ann_file: None
2026-05-28,16:40:51 | INFO | Rank 0 |   auto_resume: True
2026-05-28,16:40:51 | INFO | Rank 0 |   batch_aug: False
2026-05-28,16:40:51 | INFO | Rank 0 |   batch_size: 2
2026-05-28,16:40:51 | INFO | Rank 0 |   beta1: 0.9
2026-05-28,16:40:51 | INFO | Rank 0 |   beta2: 0.999
2026-05-28,16:40:51 | INFO | Rank 0 |   char_dict_pth: E:/ODM/dataset/chinese_handwriting_char_dict.pkl
2026-05-28,16:40:51 | INFO | Rank 0 |   char_loss_weight: 1.0
2026-05-28,16:40:51 | INFO | Rank 0 |   checkpoint_path: ./logs/odm_chinese_handwriting\checkpoints
2026-05-28,16:40:51 | INFO | Rank 0 |   crop_max_size_ratio: 1.0
2026-05-28,16:40:51 | INFO | Rank 0 |   crop_min_size_ratio: 0.5
2026-05-28,16:40:51 | INFO | Rank 0 |   crop_prob: 1.0
2026-05-28,16:40:51 | INFO | Rank 0 |   csv_caption_key: title
2026-05-28,16:40:51 | INFO | Rank 0 |   csv_img_key: filepath
2026-05-28,16:40:51 | INFO | Rank 0 |   csv_separator: 	
2026-05-28,16:40:51 | INFO | Rank 0 |   dataset_type: auto
2026-05-28,16:40:51 | INFO | Rank 0 |   debug: False
2026-05-28,16:40:51 | INFO | Rank 0 |   dist_backend: nccl
2026-05-28,16:40:51 | INFO | Rank 0 |   dist_brightness: 0.5
2026-05-28,16:40:51 | INFO | Rank 0 |   dist_contrast: 0.5
2026-05-28,16:40:51 | INFO | Rank 0 |   dist_hue: 0.5
2026-05-28,16:40:51 | INFO | Rank 0 |   dist_saturation: 0.5
2026-05-28,16:40:51 | INFO | Rank 0 |   dist_url: tcp://127.0.0.1:6100
2026-05-28,16:40:51 | INFO | Rank 0 |   distortion_prob: 0.5
2026-05-28,16:40:51 | INFO | Rank 0 |   distributed: False
2026-05-28,16:40:51 | INFO | Rank 0 |   dp: False
2026-05-28,16:40:51 | INFO | Rank 0 |   epochs: 40
2026-05-28,16:40:51 | INFO | Rank 0 |   eps: 1e-08
2026-05-28,16:40:51 | INFO | Rank 0 |   first: False
2026-05-28,16:40:51 | INFO | Rank 0 |   gpu: 0
2026-05-28,16:40:51 | INFO | Rank 0 |   gt_dir: E:/ODM/dataset/synthetic_chinese_handwriting/masks/
2026-05-28,16:40:51 | INFO | Rank 0 |   img_loss_weight: 1.0
2026-05-28,16:44:08 | INFO | Rank 0 | Params:
2026-05-28,16:44:08 | INFO | Rank 0 |   C: 3.16
2026-05-28,16:44:08 | INFO | Rank 0 |   EOS: 5631
2026-05-28,16:44:08 | INFO | Rank 0 |   SOS: 5632
2026-05-28,16:44:08 | INFO | Rank 0 |   aggregate: True
2026-05-28,16:44:08 | INFO | Rank 0 |   ann_file: None
2026-05-28,16:44:08 | INFO | Rank 0 |   auto_resume: True
2026-05-28,16:44:08 | INFO | Rank 0 |   batch_aug: False
2026-05-28,16:44:08 | INFO | Rank 0 |   batch_size: 2
2026-05-28,16:44:08 | INFO | Rank 0 |   beta1: 0.9
2026-05-28,16:44:08 | INFO | Rank 0 |   beta2: 0.999
2026-05-28,16:44:08 | INFO | Rank 0 |   char_dict_pth: E:/ODM/dataset/chinese_handwriting_char_dict.pkl
2026-05-28,16:44:08 | INFO | Rank 0 |   char_loss_weight: 1.0
2026-05-28,16:44:08 | INFO | Rank 0 |   checkpoint_path: ./logs/odm_chinese_handwriting\checkpoints
2026-05-28,16:44:08 | INFO | Rank 0 |   crop_max_size_ratio: 1.0
2026-05-28,16:44:08 | INFO | Rank 0 |   crop_min_size_ratio: 0.5
2026-05-28,16:44:08 | INFO | Rank 0 |   crop_prob: 1.0
2026-05-28,16:44:08 | INFO | Rank 0 |   csv_caption_key: title
2026-05-28,16:44:08 | INFO | Rank 0 |   csv_img_key: filepath
2026-05-28,16:44:08 | INFO | Rank 0 |   csv_separator: 	
2026-05-28,16:44:08 | INFO | Rank 0 |   dataset_type: auto
2026-05-28,16:44:08 | INFO | Rank 0 |   debug: False
2026-05-28,16:44:08 | INFO | Rank 0 |   dist_backend: nccl
